title,url,collection,description,servings,total_time_min,ingredients,method,tags,ratingValue,ratingCount
Back-to-front baked cheesecake,https://www.bbc.co.uk/food/recipes/back-to-front_baked_75383,https://www.bbc.co.uk/food/collections/baked_cheesecakes,Nadiya's back-to-front cheesecake has its base on the top as a chocolatey tiffin mixture. All the best cakes are a little back-to-front!,Serves 9,840,"900g/2lb full-fat cream cheese || 200g/7oz caster sugar || 150ml/5fl oz soured cream || 3 tbsp plain flour || 3 free-range eggs, beaten || 2 tsp vanilla bean paste || 50g/1¾oz butter || 170g/6oz set honey || 300ml/10fl oz double cream || ½ tsp salt || 150g/5½oz digestives, roughly crushed || 75g/2½oz unsalted butter, melted || 30g/1oz demerara sugar || 50g/1¾oz dark chocolate chips or chunks || 50g/1¾oz toasted hazelnuts, roughly chopped","Preheat the oven to 160C/140C Fan/Gas 3. Grease the base of a 20cm/8in round cake tin (not loose-bottomed), and line it with baking paper. || Put the cream cheese, sugar, soured cream, flour, eggs and vanilla paste into a large bowl and give it all a good mix, just for a minute or so, until it is all well combined. You don’t want to mix for too long and incorporate any air. || Pour the mixture into the prepared tin, tap it on the worktop to release any trapped air, then level the surface. Bake on the lower shelf of the oven for 1 hour. || As soon as the hour is up, open the oven door, leaving it slightly ajar. Pop a wooden spoon in the door to keep it just open and let out the heat slowly. Now turn the oven off. || Don’t take the cheesecake out until the oven is completely cold –  this recipe is more about patience than anything else. Once the oven is cool, put the cheesecake into the fridge to chill overnight. || The following  day, make the honey salted caramel. Melt the butter in a small pan over a medium heat. Add the honey and cook on a medium– high heat for 10 minutes, until the caramel is golden brown. If it starts to catch, turn the heat down slightly. || After 10 minutes, pour in the cream, give it a mix and allow it to just come to the boil. Take off the heat and stir in the salt. Set aside. || For the tiffin crumble, put the biscuits into a zip-lock bag and crush them very roughly. I like a good mix of big pieces, small bits and lots of crumbs. Empty into a bowl. || Melt the butter and pour it onto the biscuits. Leave to cool for about 10 minutes, while you take the cheesecake out of the fridge and turn it out on to a serving plate or platter. || Add the sugar, chocolate and hazelnuts to the buttery biscuit chunks. || Now for the back-to-front bit. Put the tiffin mixture on top of the cheesecake, but not in any neat fashion or packed tightly, just piled on top in peaks and troughs. || Reheat the caramel if it has cooled too much, and serve with slices of cheesecake and crumble.",our best cheesecake | baked cheesecakes | father's day cakes and bakes | christmas dessert | luxury christmas desserts | new year's desserts | salted caramel stars | showstopper bakes | sweet like honey | bonfire night | christmas | father's day | hanukkah | mother's day | cheesecake | cream cheese | pregnancy friendly | vegetarian | Nadiya's Family Favourites | Cakes and baking | http://schema.org/VegetarianDiet,4.346153846153846,26
Badam cheesecake,https://www.bbc.co.uk/food/recipes/badam_cheesecake_52257,https://www.bbc.co.uk/food/collections/baked_cheesecakes,"Cheesecake is one of my favourite desserts and this version has everything a cheesecake needs: crisp, buttery filo layers, a nutty base layer and a creamy cheesecake filling with flecks of rose petal. A great make-ahead dessert to bake and leave in the fridge the night before.",Serves 10,180,"1 pack filo pastry || 100g/3½oz unsalted butter || 1 tsp ground cinnamon || 1 orange, zest only (reserve the juice) || 225g/8oz digestive biscuits || 100g/3½oz shelled pistachios || 110g/4oz unsalted butter, melted || pinch salt || 900g/2lb full-fat cream cheese || 200g/7oz caster sugar || 150ml/¼ pint soured cream || 3 tbsp plain flour || 3 medium free-range eggs || 1 organic rose, petals removed || ½ tsp rose extract || 100g/3½oz pistachios, roughly chopped || 1 orange, juice only || 3 cardamom pods, crushed || 100g/3½oz caster sugar","Start by preheating the oven to 180C/160C Fan/Gas 4. Cut the readymade filo sheets in half (to make squares). || Put the butter, cinnamon and orange zest in a pan and heat until melted and mixed well. Brush the inside of a 20cm/8in deep loose-bottomed cake tin with the flavoured butter. || Lay a sheet of the filo in the tin and brush it all over with the butter. Add another sheet of filo, moving clockwise around the tin as you lay the sheets so that you cover all the sides, again brushing with butter. Repeat this until the base and sides are completely covered with buttered filo. || To make the nutty base, put the biscuits and pistachios in a food processor and blend to a fine, even crumb. Tip into a bowl, pour in the melted butter, add the salt and mix until you have the texture of wet sand. Tip into the prepared tin and using the back of a spoon, press into an even layer. Bake for 25 minutes, then remove from the oven and set aside. || Lower the oven temperature to 140C/120C Fan/Gas 1. || To make the filling, put the cream cheese and caster sugar in a bowl and mix. Add the soured cream, plain flour and eggs and mix to combine. Sprinkle in the rose petals and rose extract and mix well. || Pour onto the biscuity filo base and smooth the top. Tap the tin sharply on the worktop to remove any air pockets. Top with the chopped pistachios and bake for 1–1½ hours, or until the filling is set but still wobbles in the middle. || Once cooked, leave the oven door ajar so that the oven cools down slowly. Leave the cheesecake in the oven until cold. || To make the syrup, put the orange juice in a saucepan with enough water to make 100ml/3½fl oz liquid. Add the crushed cardamom pods and caster sugar. Mix it all together and then put over a high heat. As soon as the mixture boils, turn the heat down and continue to heat to allow the volume of liquid to reduce to half and form a thicker syrup. || Take the cheesecake out of the cold oven and drizzle the syrup around the edges into the layers of filo and on top of the nuts. Refrigerate for a minimum of 4 hours before devouring. Serve with some extra rose syrup and pouring cream, if you like.",baked cheesecakes | nadiya’s bakes | perfect pistachio | cheesecake | pistachio | vegetarian | Nadiya’s Simple Spices | Desserts | http://schema.org/VegetarianDiet,3.2,5
Beetroot chocolate cake with cream cheese icing,https://www.bbc.co.uk/food/recipes/beetroot_and_chocolate_33061,https://www.bbc.co.uk/food/collections/baking_with_vegetables,"Brighten up a special occasion, or cake sale, with Mary's rich beetroot and chocolate cake recipe decorated with heart-shaped candied beetroot!

For this recipe you will need a food processor.",Serves 12,90,"250g/9oz self-raising flour || 4 tbsp cocoa powder || 2 tsp baking powder || 250g/9oz cooked beetroot in natural juices || 3 tbsp white wine vinegar || 160ml/5½fl oz buttermilk || 160g/5½oz butter, softened || 230g/8oz caster sugar || 3 large free-range eggs || 280g/10oz cream cheese || 50g/1¾oz unsalted butter, softened || 50g/1¾oz icing sugar, sifted || ½ tsp vanilla extract || 2 x raw beetroots || 200g/7oz caster sugar","Preheat the oven to 180C/160C Fan/Gas 4. Grease and line a 30x20cm/12x8in traybake tin. || Mix together the flour, cocoa powder and baking powder in a bowl. || Blend the beetroot in a food processor until you have a rough purée. Put the purée in a bowl, add the vinegar and buttermilk. Mix to combine. || Beat the butter and sugar together until light and fluffy. Gradually beat in the eggs, followed by half the dry mixture and half the beetroot mixture. || Continue to mix gently, adding the rest of the dry ingredients and the remaining beetroot. Pour the mixture into the tin and bake for 40-50 minutes. Leave to cool in the tin for 10 minutes before turning it out of the tin and leaving it to cool completely. || Meanwhile make the icing. Beat together the cream cheese and butter until soft. Beat in the icing sugar and vanilla extract until they are combined, then spread the icing onto the cooled cake. || For the beetroot hearts, thinly slice the beetroot, and cut into 12 heart shapes. || Boil the sugar in 200ml/7fl oz water until the sugar has dissolved, then add the beetroot hearts and simmer for about 10 minutes until soft and translucent. Using a fork, carefully remove the beetroot hearts from the hot sugar syrup and carefully lay them on paper towel to soak up any excess syrup. || Slice the cake into 12 even squares, and then decorate each square with a beetroot heart.",baking with vegetables | celebrate pride | chocolate bakes with vegetables | birthday party | valentine's day | cake | beetroot | nut free | pregnancy friendly | vegetarian | The Great Sport Relief Bake Off | Cakes and baking | http://schema.org/VegetarianDiet,4.857142857142857,7
Beetroot and chocolate cake,https://www.bbc.co.uk/food/recipes/beetroot_and_chocolate_43743,https://www.bbc.co.uk/food/collections/baking_with_vegetables,"Mary Berry's chocolate traybake includes grated beetroot which makes for a beautifully moist, sweet cake. It’s topped with a chocolate feathered icing – which looks impressive, but is so easy to do.",Serves 12,90,"3 large free-range eggs || 50g/1¾oz cocoa powder || 150g/5½oz self-raising flour || 2 tsp baking powder || 175g/6oz light muscovado sugar || 300ml/½ pint sunflower oil, plus extra for greasing || 225g/8oz raw beetroot, peeled and coarsely grated (about 2 medium beetroots) || 200g/7oz milk or dark chocolate (about 35–40% cocoa solids), broken into pieces || 200ml/7fl oz pouring double cream || 50g/1¾oz white chocolate, chopped","Preheat the oven to 180C/160CFan/Gas 4. Grease and line a 30x23cm/12x9in baking tin with baking paper. || Break the eggs into a large mixing bowl. Add the cocoa, flour, baking powder and sugar. Stir a little using a wooden spoon then gradually mix in the oil and beat until combined to give a thick batter. Once smooth, stir in the grated beetroot. || Spoon into the prepared tin and bake for about 35 minutes, or until risen and springy to the touch. Remove and set aside to cool before icing. || To make the icing, place the chocolate in a heatproof bowl. Add the cream and place the bowl over a saucepan of gently simmering water (do not allow the water to touch the bowl). Stir until the chocolate is melted, smooth and glossy. Leave to cool a little so that it is a thick pouring consistency (this won’t take long depending on room temperature). Pour the icing over the cold cake and spread it out to cover the top of the cake completely. || To decorate, melt the white chocolate in a small bowl set over a saucepan of hot water. Spoon into a small piping bag fitted with a fine nozzle or a small food bag with a tiny corner snipped off. Pipe the chocolate in parallel lines across the cake, about 2cm/¾in apart. Using a cocktail stick, drag through the white chocolate in opposite directions across the cake to give a feathered effect. Allow the chocolate to set a little before cutting into 12 small squares.",baking with vegetables | halloween baking | chocolate bakes with vegetables | chocolate baking | dark chocolate treats | easy chocolate cake | halloween cakes | mary’s twists on the classics | mary berry favourites | traybake cake | traybake | chocolate cake | chocolate | A Berry Royal Christmas | Cakes and baking,3.982456140350877,57
Beetroot chocolate cake,https://www.bbc.co.uk/food/recipes/beetroot_chocolate_cake_82388,https://www.bbc.co.uk/food/collections/baking_with_vegetables,"If you haven’t yet discovered the delicious and surprising combo of beetroot and chocolate cake, this is the perfect introductory recipe. Try it with a dollop of crème fraîche.",Serves 8–10,90,"200g/7oz butter, plus extra for greasing || 250g/9oz cooked and peeled beetroot || 200g/7oz dark chocolate (70% cocoa solids) || 4 tbsp hot espresso coffee || 135g/5oz plain flour || 1 heaped tsp baking powder || 3 tbsp cocoa powder || 5 free-range eggs, separated || 190g/6¾oz golden caster sugar || crème fraîche or double cream, to serve","Preheat the oven to 180C/160C Fan/Gas 4. Grease a 20cm/8in cake tin with a little butter and line the bottom of the tin with a disc of baking parchment. || Blend the beetroot in a food processor to a rough purée. || Melt the chocolate in a bowl suspended over a pan of hot water (do not allow the bottom of the bowl to touch the water), then pour in the hot coffee. || Stir in the butter in small pieces and leave to soften. Remove from the heat and allow to cool slightly. || Meanwhile, sift the flour, baking powder and cocoa together in a bowl and set aside. || Separate the eggs. Whisk the yolks in a bowl until frothy. Stir the egg yolks into the chocolate and butter mixture, then fold in the beetroot. || In a separate clean bowl, whisk the egg whites until still peaks form when the whisk is removed. Fold in the sugar. || Fold the sugar and egg whites into the chocolate mixture, then fold in the sifted flour and cocoa mixture. || Pour the batter into the prepared tin and bake for 40 minutes, or until a skewer inserted into the cake comes out clean. || Allow to cool in the tin, then serve with crème fraîche or double cream.",best chocolate cake | baking with vegetables | chocolate bakes with vegetables | our best chocolate | up your veg game | afternoon tea | autumn | bonfire night | halloween | chocolate cake | beetroot | dark chocolate | nut free | pregnancy friendly | vegetarian | Nigel Slater's Dish of the Day | Cakes and baking | http://schema.org/VegetarianDiet,4.519230769230769,52
Beetroot seed cake,https://www.bbc.co.uk/food/recipes/beetroot_seed_cake_50355,https://www.bbc.co.uk/food/collections/baking_with_vegetables,"Beetroot cake is the hero of vegetable-based cakes – moist, tasty and full of goodness. Nigel Slater shows you how.",Serves about 8,90,"butter or oil, for greasing || 225g/8oz self-raising flour || half a teaspoon bicarbonate of soda || a level teaspoon baking powder || half a teaspoon ground cinnamon || 180ml/6¼fl oz sunflower oil || 225g/8oz light muscovado sugar || 3 free-range eggs, separated || 150g/5oz raw beetroot, peeled || juice of half a lemon || 75g/3oz sultanas or raisins || 75g/3oz mixed seeds (such as sunflower, pumpkin and linseed) || 8 tablespoons icing sugar || a little lemon juice or orange blossom water || poppy seeds, to garnish","Preheat the oven at 180C/350F/Gas 4. Lightly grease a rectangular loaf tin (20cm x 9cm x 7cm/8in x 4in x 3in), then line the base with baking parchment. || Sift together the flour, bicarbonate of soda, baking powder and cinnamon. || Beat the oil and sugar in a food mixer until well combined, then introduce the egg yolks one by one, mixing after you add each egg yolk. Grate the beetroot coarsely and fold it into the egg mixture, then add the lemon juice, sultanas (or raisins) and the assorted seeds. Pulse until combined. || Fold the flour and raising agents into the egg mixture whilst the machine is on a slow setting. || Beat the egg whites until light and almost stiff. Fold gently but thoroughly into the cake mixture, using a large metal spoon (a wooden one will knock the air out). Pour the mixture into the cake tin and bake for 50-55 minutes, covering the top with a piece of foil after thirty minutes. Test with a skewer for doneness. The cake should be moist inside but not sticky. Leave the cake to settle for a good twenty minutes before turning out of its tin onto a wire cooling rack. || To make the icing, sift the icing sugar into a bowl and stir in enough lemon juice or orange blossom water to achieve a consistency where the icing will run over the top of the cake and drizzle slowly down the sides (about three teaspoonfuls), stirring to remove any lumps. Drizzle it over the cake and scatter with the poppy seeds. Leave to set before eating.",easy loaf cake | baking with vegetables | dairy-free cake | english baking | loaf cake | beetroot | dairy free | nut free | pregnancy friendly | vegetarian | summer | autumn | Nigel Slater's Simple Suppers | Cakes and baking | http://schema.org/LowLactoseDiet | http://schema.org/VegetarianDiet,4.947368421052632,19
Carrot and courgette muffins,https://www.bbc.co.uk/food/recipes/carrot_and_courgette_63594,https://www.bbc.co.uk/food/collections/baking_with_vegetables,"These moist, yummy muffins are packed with goodness and are perfect for the kids' lunchboxes.",Makes 9,60,"1 free-range egg || ¼ courgette (about 20g/¾oz), trimmed, grated || ¼ carrot (about 20g/¾oz), peeled, grated || 1 heaped tbsp raisins || 2 tbsp milk || 1 tbsp sunflower oil || 75g/3oz plain flour || 15g/½oz light soft brown sugar || 1 tsp baking powder","Preheat the oven to 220C/450F/Gas 7. Line a nine-hole mini-muffin tray with muffin cases. || Beat the egg in a bowl, then stir in the grated courgette, grated carrot, raisins, milk and sunflower oil. || In a separate bowl, mix together the flour, sugar and baking powder. || Gradually stir the wet mixture into the dry mixture until sticky and well combined. || Divide the cake mixture among the muffins cases in the muffin tray. Bake in the oven for 12–15 minutes, or until a skewer inserted into the centre of the muffins comes out clean. Remove each muffin from the tray and set aside to cool on a wire rack.",quick | baking with vegetables | kid's party | kids' picnic | nut-free snack | recipes for kids | muffins | courgette | carrot | healthy | nut free | pregnancy friendly | vegetarian | I Can Cook | Cakes and baking | http://schema.org/LowCalorieDiet | http://schema.org/VegetarianDiet,2.857142857142857,14
Beef bulgogi,https://www.bbc.co.uk/food/recipes/beef_bulgogi_88615,https://www.bbc.co.uk/food/collections/barbecue_roasts,The word bulgogi translates as ‘fire meat’ as strips of meat are cooked on a barbecue in this recipe. A hot griddle or frying pan can also be used.,Serves 2–3,750,"300–400g/10½–14oz rib-eye steak || 2–3 spring onions, each chopped into 2–3 pieces || 2 Little Gem lettuces, halved lengthways || 1 tbsp sesame seeds, toasted || ½ ripe Asian pear, cored and cut into chunks (see recipe tip) || 4 tbsp light soy sauce || 2 tbsp soft brown sugar || 2 garlic cloves || 25g/1oz fresh root ginger, peeled and chopped || 2 spring onions, chopped || 1 tbsp sesame seeds || 1 tbsp sesame oil || pinch salt and pepper || 2 tbsp gochujang (Korean fermented chilli paste) || 1 tbsp miso paste || ½ tbsp light soy sauce || 1 tbsp honey || 1 tsp sesame oil","Slice the steak as thinly as possible into long, wide pieces and then bash well with the side of a knife, cleaver or meat mallet to flatten. || To make the marinade, blitz all of the ingredients together in a food processor. Pour over the steak and massage into the meat. Cover with cling film or leave in a sealed food container in the fridge overnight. || Mix all of the ssamjang ingredients together in a ramekin or small bowl. || Preheat a griddle or frying pan over a high heat or prepare the coals for a barbecue. Once the pan or barbecue is smoking hot, place the marinated meat, piece by piece, on top of the hot grill or pan and sear until nicely charred. Turn once and sear the other side. Char the spring onion and lettuces on the grill too. Scatter over the sesame seeds and serve with the ssamjang on the side.",barbecue roasts | best ever miso | impressive barbecue | korean kitchen | mouth-watering marinades | barbecue | father's day | summer dinner | steak | dairy free | egg free | nut free | pregnancy friendly | Main course | Korean | http://schema.org/LowLactoseDiet,4.375,8
Beef ribs with barbecue sauce,https://www.bbc.co.uk/food/recipes/beef_ribs_with_bbq_sauce_80391,https://www.bbc.co.uk/food/collections/barbecue_roasts,"Try James' gently spicy, sticky beef ribs for the authentic taste of the deep-south. You could finish the ribs off on a barbecue instead of the oven if you prefer.",Serves 4-6,150,"4 Jacob’s ladder beef ribs || 1 onion, chopped || 1 head of garlic, cut in half horizontally || 1 tsp fennel seeds || 2 star anise || 4 baking potatoes || a little oil || sea salt and freshly ground black pepper || 200ml/7fl oz double cream || 1 lemon, juice only || 3 tbsp chives, finely sliced || 25g/1oz butter, plus extra to serve || 1 onion, roughly chopped || 1 garlic clove, crushed || 2 red chillies, finely sliced || 1 tsp fennel seeds, crushed || 2 star anise || 150g/5½oz light muscovado sugar || 300g/10½oz tomato ketchup || 150g/5½oz chipotle chilli ketchup || 150ml/5fl oz dark soy sauce","Place the ribs in a large, wide saucepan. Cover with water and add the onion, garlic, fennel seeds and star anise. || Bring to a boil, then reduce the heat and simmer very gently for three hours, or until the meat is tender, skimming any scum off occasionally. || Preheat the oven to 200C/400F/Gas 6. || Rub the baking potatoes with a little oil. Create four small piles of sea salt in a baking tray then place the potatoes on top. Bake for 1-1½ hours, or until tender. || Meanwhile, make the bbq sauce. Heat a sauté pan until hot and add the butter, onions and garlic and fry for 4-5 minutes, or until softened. || Add the chillies, fennel seeds, star anise and sugar. Cook for a further 3-4 minutes until the sugar has dissolved. || Add the ketchups and soy sauce and bring to the boil. Reduce the heat and simmer for five minutes, or until thickened. || Remove from the heat and cool slightly before placing in a blender. Pulse to form a smooth pureé. || Dip the ribs into the sauce then place into a roasting tray and spoon some more sauce over the top. Place in the oven with the potatoes for 15-20 minutes until sticky. || While the ribs cook, put the double cream, lemon juice, chives and a pinch of salt into a large bowl and whisk until thickened. || Serve the ribs with the jacket potato topped with a dollop of butter and soured cream.",barbecue roasts | smoky bbq | barbecue | father's day | beef short ribs | nut free | pregnancy friendly | James Martin: Home Comforts | Main course | American,4.285714285714286,14
Butterflied lamb with lemon and paprika,https://www.bbc.co.uk/food/recipes/butterflied_lamb_with_08901,https://www.bbc.co.uk/food/collections/barbecue_roasts,This leg of lamb can be cooked on the barbecue or in the oven. Serve simply with potato wedges and greens for a laid-back meal with friends. Reduce the dried red chilli flakes if you prefer a milder marinade.,Serves 6,120,"1 x 2.5kg/5lb 8oz leg of lamb (see directions below on how to remove the bones) || 1 large garlic clove, finely chopped || 1 tsp dried red chilli flakes || 6 tsp chopped rosemary || 6 sprigs thyme, leaves picked || 1 fresh bay leaf, finely chopped || 1 lemon, juice only || 2 tbsp Thai fish sauce || 2 tbsp pimenton (Spanish sweet smoked paprika) || 6 tbsp olive oil || 1 tsp flaky sea salt || ½ tsp coarsely ground or crushed black pepper","To prepare the lamb, turn the leg over to the point where the bone runs closest to the surface. Using a sharp knife, split the meat along the bone and ease it away from the bone along both sides, leaving the bone as clean as possible. At the fatter end of the joint, there is a group of smaller bones, so continue to cut around them too until you can lift all the bones from the meat and are left with a butterfly shaped, bone-free joint. Trim away any excess fat and sinew. || Lay a piece of cling film over the meat and bash the surface with a rolling pin to flatten the thick sections lightly. The meat should be an even thickness throughout. || Mix the marinade ingredients together. Rub the marinade all over the lamb and set aside in a roasting tin, skin-side up, for about 30 minutes. || Preheat the oven to 222C/200C Fan/Gas 7. || Roast the lamb for 15 minutes, reduce the temperature to 180C/160C Fan/Gas 4 and roast for a further 15 minutes. This will give you pink lamb, if you would rather it slightly less so, cook for a further 5 minutes. Remove from the oven and cover with foil. Rest for at least 15 minutes. Place on a board before carving into thick slices. || Serve with potato wedges, steamed green vegetables and some of the meat juices.",al fresco easter | barbecue roasts | big barbecue | easter roast dinner | gluten-free roast dinner | healthy roast | impressive barbecue | lovely lamb | passover food ideas | barbecue | dinner party | roast dinner | roast lamb | leg of lamb | dairy free | egg free | gluten free | nut free | pregnancy friendly | Rick Stein's Cornwall | Main course | http://schema.org/LowLactoseDiet | http://schema.org/GlutenFreeDiet,4.5625,16
Buttermilk chicken,https://www.bbc.co.uk/food/recipes/buttermilk_chicken_47764,https://www.bbc.co.uk/food/collections/barbecue_roasts,"Garlic and herbs add flavour to this simple buttermilk chicken; marinate for several hours, or overnight, then bung it in the oven or on the barbecue. Serve with salad and chips, or boiled or baked potatoes.

Each serving provides 263 kcal, 35g protein, 7g carbohydrates (of which 7g sugars), 10.5g fat (of which 3g saturates), 0g fibre and 1.7g salt.",Serves 4,780,"3 garlic cloves, peeled || 284–300ml/approx. ½ pint buttermilk || 10g/⅓oz fresh flatleaf parsley (optional) || 1 tbsp chopped fresh rosemary or 2 tsp dried rosemary || 1 tbsp soft light brown sugar or runny honey || 1 tsp flaked sea salt or ½ tsp fine salt || 1 tsp coarsely ground black pepper || 4 chicken thighs || 4 chicken drumsticks","Flatten the garlic cloves with the end of a rolling pin, the side of a knife, or in a pestle and mortar. (If you chop or fully crush the garlic it could burn when the chicken is baked.) Put in a large bowl and add the buttermilk. || Roughly chop the leaves from half the parsley, if using, and return the rest to the fridge. || Stir the chopped parsley, rosemary, sugar, salt and pepper into the buttermilk. Add the chicken and turn to coat in the marinade. Cover the bowl and leave in the fridge for at least 8 hours, or overnight. || Preheat the oven to 200C/180C Fan/Gas 6. Line a large baking tray with foil and place a rack on top. Take the chicken out of the marinade, gently shaking off excess buttermilk and garlic. Place on the rack, with the thighs skin-side up. Discard the marinade. || Roast the chicken for 35–40 minutes, or until lightly browned in places and cooked through. The chicken is cooked when the juices run clear when pierced with a skewer in the thickest part. Chop the remaining parsley leaves and sprinkle over the chicken just before serving. Eat hot or cold with salad and baked potatoes, boiled new potatoes or chips.",barbecue roasts | comforting chicken | easy barbecue | easy chicken | easy marinades | gluten-free kids party | gluten-free picnic | the best chicken drumsticks | barbecue | bonfire night | easy family dinners | picnic | summer dinner | summer party | baked chicken | chicken thigh | egg free | gluten free | nut free | pregnancy friendly | Main course | http://schema.org/GlutenFreeDiet,4.083333333333333,12
Calabrian pork ribs,https://www.bbc.co.uk/food/recipes/calabrian_pork_ribs_75821,https://www.bbc.co.uk/food/collections/barbecue_roasts,This flavoursome pork rib roast is cut from pork belly still on the bone. Perfect for marinating and then cooking low and slow before a quick grill or go on the barbecue.,Serves 4–6,150,"100ml/3½fl oz olive oil || 2 tbsp red wine vinegar || 4 medium hot red chillies, deseeded, roughly chopped || ½ red pepper, deseeded roughly chopped || 1 head garlic, cloves peeled, roughly chopped || few sprigs fresh thyme || few sprigs fresh rosemary || 1 tsp dried oregano || ½ tsp dried red chilli flakes || 1 rack pork ribs, in one piece, around 1.5–2kg/3lb 5oz–4lb 8oz || salt and freshly ground black pepper || lemon wedges || 200g/7oz quick-cook polenta","Preheat the oven to 140C/Fan 120C/Gas 1. || Put all the ingredients, except the pork, into a blender and blend until fairly smooth. || Line a roasting tin with foil, making sure there is enough foil hanging over the sides to fold into a parcel. Place the pork on top of the foil and pour over the marinade, turning over to make sure it is completely covered. || Bring the foil together to make a parcel then put in the oven. Bake for between 2–3 hours, making sure you check after 2 hours – the meat should be cooked through and tender but nowhere near falling off the bone. || Cook the polenta according to packet instructions and season well. || Remove from the oven and transfer to a chopping board. Pouring off any cooking juices and transfer to a small saucepan. When the ribs are cool enough to handle, cut into individual ribs – it is easier to follow the bone by turning bone side up. || To finish cooking, either prepare a barbecue, preheat your grill or heat a griddle pan until it is too hot to hold your hand over. Grill or griddle the ribs until well browned and nicely charred in places – this should take 3–4 minutes on each side. || Reheat the pan juices and serve on the side with the ribs, along with lemon wedges and polenta.",barbecue roasts | big barbecue | hairy bikers' comfort food | make-ahead barbecue | pork ribs | pork | dairy free | egg free | gluten free | nut free | pregnancy friendly | Hairy Bikers' Mediterranean Adventure | Main course | Italian | http://schema.org/LowLactoseDiet | http://schema.org/GlutenFreeDiet,4.916666666666667,12
Baked camembert with garlic bread,https://www.bbc.co.uk/food/recipes/bakedcamembertwithga_86995,https://www.bbc.co.uk/food/collections/camping_recipes,"So quick, so easy and so delicious, this is the perfect recipe with which to spoil loved ones, whether at Christmas or on Valentine’s Day. You can even cook it on the barbecue!",Serves 2,60,"1 whole camembert, in its box || 1 garlic clove, sliced || 3-4 sprigs fresh thyme || 1 tsp olive oil || 1 small ciabatta loaf, cut in half || 1 tbsp olive oil || 1 garlic clove, peeled","Preheat the oven to 200C/400F/Gas 6. || Remove any plastic packaging from the cheese and place back in its box, leaving the lid off. || Pierce the top of the cheese in several places with a sharp knife and insert pieces of garlic and sprigs of thyme into the slits. || Drizzle the cheese with olive oil and place on a baking sheet, leaving the cheese in its box. Bake in the oven for ten minutes, or until the centre of the cheese is melted. || For the garlic bread, drizzle the cut side of the bread with olive oil and place cut-side down in a hot griddle pan until toasted. Rub the toasted side of the bread with the garlic clove. || Serve the garlic bread with the warm cheese for dipping.",quick | bonfire night snacks | camping | christmas movie snacks | date night | easy dinner party | easy party food | new year's sharing | christmas party food | shortcut christmas | sport tv dinner | vegetarian valentine's day | barbecue | boxing day | party food | valentine's day | camembert | egg free | nut free | vegetarian | Ready Steady Cook | Starters & nibbles | French | http://schema.org/VegetarianDiet,4.666666666666667,12
Brown butter tortelloni,https://www.bbc.co.uk/food/recipes/brown_butter_tortelloni_79362,https://www.bbc.co.uk/food/collections/camping_recipes,"Use the tortelloni of your choice to make this brilliantly quick and easy recipe. 

In November 2023, this recipe was costed at an average of £1.90 per portion when checking prices at four UK supermarkets. The recipe is designed to be made in conjunction with a <a href=""https://www.bbc.co.uk/food/articles/budget_recipes"">low-cost store-cupboard</a>.",Serves 2,40,"40g/1½oz butter || 300g pack fresh tortelloni (any type is fine) || 50g/1¾oz finely grated Grana Padano or Parmesan, plus extra to serve || salt and freshly ground black pepper","Melt the butter in a large frying pan and cook over a medium heat for 3–4 minutes, swirling until the butter turns golden and smells nutty. || Meanwhile, cook the tortelloni according to packet instructions in a saucepan of boiling, lightly salted water. Drain the pasta, reserving some of the cooking water, and add to the butter in the frying pan. || Add the grated cheese and a small ladle of the pasta water. Toss together until the cheese has melted and the pasta is coated. || Divide the pasta mixture between bowls and serve with a sprinkle of cheese and good grinding of black pepper.",quick | 10 ingredients or less | 15 minute vegetarian meals | 5 ingredient meals | 5 ingredient pasta dinners | camping | date night pasta | student food | tortellini | parmesan | nut free | pregnancy friendly | Main course | Italian,3.75,4
Camp doughnuts (jam eggy bread),https://www.bbc.co.uk/food/recipes/camp_doughnuts_jam_eggy_28479,https://www.bbc.co.uk/food/collections/camping_recipes,"The perfect pud to make when you’re by the campfire! This sweet treat is so easy and quick, it can be whipped up at home or by the fireside.",Serves 2,60,"50g/2oz butter, softened || 4 slices white farmhouse bread || 3 tbsp blackcurrant or blackberry jam (or any other jam) || 2 large free-range eggs || 50ml/2fl oz milk || 25g/1oz caster sugar || ½ tsp vanilla extract || 4 tsp sunflower oil || whipped cream, to serve (optional) || 25g/1oz caster sugar || 1 tsp ground cinnamon","Butter two slices of the bread and spread them thickly with the jam. Sandwich with the remaining slices. || Whisk the egg, milk, sugar and vanilla together in a large bowl. || Make the cinnamon sugar by mixing the caster sugar and cinnamon together and scattering over a small baking tray. || Heat 2 teaspoons of the oil and the remaining butter in a large non-stick frying pan over a medium heat. Soak one of the sandwiches in the egg mixture for 8–10 seconds on each side and place gently into the hot pan. Cook for 2-2½ minutes on each side, or until golden-brown and hot through. It's important to do this on a medium heat so the mixture has time to puff up and cook in the middle without burning. Remove the sandwich from the pan and turn in the cinnamon sugar while you repeat the process with the second sandwich. || Cut in half diagonally and put on plates. Serve with whipped cream (see tip below).",quick | breakfast sandwiches | camping | easy family puddings | quick desserts | time saving recipe hacks | student food | sandwich | white bread | jam | nut free | pregnancy friendly | vegetarian | Ready Steady Cook | Desserts | American | http://schema.org/VegetarianDiet,5,5
